,photoid,specid,ra,dec,z,dl,logstmass,logsfr,envflag
6647,1237658423538417814,1333214517835884544,124.760338,3.634131,0.030332,132.926,10.6252,-3.5906,2
6648,1237655501889470855,1101204916635985920,258.056877,30.16784,0.030529,133.809,10.4654,0.0081,2
6649,1237654604254609479,654227599995725824,166.130771,3.718864,0.031271,137.137,10.3736,-0.1438,2
6650,1237667730200264814,2739486336128935936,135.560174,14.508563,0.029804,130.56,10.3887,-0.4481,2
6651,1237655348895351215,918842940669847552,246.823539,42.695248,0.031399,137.71,10.0373,-4.1927,2
6652,1237659327103631521,919936954773039104,249.016747,39.048883,0.030543,133.873,10.3897,-0.5443,2
6653,1237655123928612906,574321142622349312,168.748205,3.587101,0.02966,129.917,10.2886,-4.0927,2
6654,1237655495446429941,1031420561831520256,211.93827,-1.639902,0.029232,128.0,10.2659,-3.4902,2
6655,1237657402417021112,934595367440246784,132.356134,41.771284,0.028867,126.369,10.1839,-1.299,2
6656,1237657770164813958,1007693379187795968,128.918701,40.379202,0.029355,128.552,10.258,-4.1287,2
6657,1237654600492777631,648585730435606528,157.17458,3.677732,0.028528,124.852,10.0896,-3.253,2
6658,1237654605328351381,654233372431771648,166.144454,4.587649,0.029158,127.668,10.2044,0.6446,2
6659,1237657400806277320,934534344544905216,133.173569,40.684459,0.028752,125.853,10.2455,0.1173,2
6660,1237658200738496761,1053971001047541760,135.157815,37.941917,0.030536,133.839,10.0545,-0.1391,2
6661,1237657873254908052,1056106252679014400,140.215955,39.354917,0.028043,122.684,10.0341,-4.2891,2
6662,1237658206122278975,1093337914345023488,185.645895,51.15488,0.029644,129.844,10.5489,-3.8473,2
6663,1237661152449462317,1093349184339208192,186.03123,51.006837,0.03026,132.604,10.2719,-3.7435,2
6664,1237659120407543823,1189113075718973440,243.969518,36.997468,0.030853,135.26,10.5824,-3.763,2
6665,1237661387616813317,1505360382586284032,245.866182,37.831051,0.028503,124.74,10.1687,-4.0545,2
